"Pozycja (x, y)","Prędkość (Vx, Vy)",Masa,"Siła (Fx, Fy)","Przyspieszenie (Ax, Ay)"
[-1.89601715e+33 -6.81645534e+32],[-1.91516883e+26 -6.88530842e+25],1e+30,[1.36849888e-15 1.76961861e-16],[1.36849888e-45 1.76961861e-46]
[-1.53909913e+34 -3.58775262e+34],[-1.55464558e+27 -3.62399255e+27],1e+30,[8.19909140e-18 4.03590944e-17],[8.19909140e-48 4.03590944e-47]
[-8.36030593e+32 -3.11291512e+33],[-8.44475347e+25 -3.14435870e+26],1e+30,[1.81830535e-14 2.70918591e-14],[1.81830535e-44 2.70918591e-44]
[-5.54113259e+33 -4.88092286e+33],[-5.59710362e+26 -4.93022511e+26],1e+30,[6.73400616e-16 6.06674570e-16],[6.73400616e-46 6.06674570e-46]
[-1.69128503e+33 -2.89137644e+33],[-1.70836872e+26 -2.92058226e+26],1e+30,[ 7.56988026e-15 -1.80143750e-14],[ 7.56988026e-45 -1.80143750e-44]
[3.51285523e+33 1.16870750e+33],[3.54833861e+26 1.18051262e+26],1e+30,[-1.00394133e-15  1.71197832e-15],[-1.00394133e-45  1.71197832e-45]
[-9.21240242e+33 -8.10318110e+32],[-9.30545699e+26 -8.18503141e+25],1e+30,[8.21792745e-16 2.26613503e-17],[8.21792745e-46 2.26613503e-47]
[8.90683653e+33 7.75961001e+33],[8.99680457e+26 7.83798990e+26],1e+30,[-3.35067946e-16 -2.41177311e-16],[-3.35067946e-46 -2.41177311e-46]
[-4.14432832e+33 -2.92383765e+33],[-4.18619022e+26 -2.95337136e+26],1e+30,[9.95899344e-16 4.08420750e-15],[9.95899344e-46 4.08420750e-45]
[-3.97080777e+33 -2.46564978e+32],[-4.01091694e+26 -2.49055533e+25],1e+30,[4.08464191e-15 9.90299047e-16],[4.08464191e-45 9.90299047e-46]
[-2.36285676e+33 -6.70543352e+32],[-2.38672400e+26 -6.77316517e+25],1e+30,[1.33370303e-15 1.50545813e-15],[1.33370303e-45 1.50545813e-45]
