0
[-1.49000922e+22  3.73604316e+21]
[-8.87033691e+20 -6.88754030e+21]
[2.36405308e+22 5.67349268e+21]
[-1.88271606e+21 -8.92780593e+21]
[1.44043455e+22 2.19027816e+21]
[2.36149230e+22 4.30946931e+22]
[1.79257586e+22 2.93877054e+22]
[-2.41708719e+22  7.50031082e+21]
[ 2.44685587e+22 -3.61949495e+22]
[3.48465764e+21 1.15706123e+21]
[1.01829222e+20 2.20480736e+21]
[ 5.35522356e+20 -7.99387058e+21]
[ 4.53221673e+21 -4.35351035e+21]
[-1.07224699e+22 -1.78567194e+22]
[1.98222931e+22 1.47078758e+22]
[2.93224071e+22 4.93003062e+22]
[-1.53794159e+23  4.34958512e+22]
[7.12810966e+21 4.01412580e+21]
[ 1.49333730e+22 -2.26111905e+21]
[-1.10572820e+22  3.82807605e+22]
[8.5415897e+22 1.9765738e+22]
[2.61349450e+22 1.35471641e+23]
[1.86800384e+22 1.40878385e+22]
[-5.27678832e+21 -3.40110770e+21]
[-9.69692740e+20 -6.87081949e+21]
[-1.02497161e+23 -1.58341270e+22]
[-3.29350235e+21  3.00940576e+22]
[-6.06211657e+22 -3.02184922e+21]
