0
[-3.50715538e+22 -1.34626148e+22]
[1.86126034e+22 1.02789736e+22]
[-6.25756029e+20 -8.57703254e+21]
[-3.76155548e+21  4.58285411e+21]
[-1.54899893e+21  4.04254442e+21]
[ 6.49785182e+21 -2.98745003e+21]
[-7.87724958e+21  2.12981510e+21]
[2.52711655e+21 1.08933136e+21]
[-2.95217847e+21 -4.85569679e+21]
[-2.81302864e+22  6.21847626e+22]
[ 1.82101545e+21 -7.04696570e+21]
[ 1.55678833e+21 -4.11792216e+21]
[-4.00092079e+21 -3.69833061e+21]
[-5.06429314e+21  7.79733728e+21]
[-6.38012878e+21  1.31081628e+21]
[-4.52734607e+21  4.02550578e+21]
[-6.58350947e+21  5.05732574e+21]
[-1.11910717e+22 -1.27141759e+22]
[-1.32165759e+22  3.31811977e+21]
[-7.01972378e+21  1.09013184e+20]
[-6.57730160e+22 -2.89485758e+22]
[ 2.43300433e+21 -2.69971340e+21]
[ 1.05945427e+21 -3.47751644e+22]
[3.19793959e+21 4.08063045e+21]
[ 3.62485498e+21 -8.46516125e+20]
[3.50785892e+21 7.93885101e+21]
[-1.06248456e+22 -2.98083373e+21]
[-5.37561233e+21  4.74178990e+21]
[ 5.70567207e+21 -5.11319671e+21]
[-1.25543237e+21  2.85629164e+21]
[-6.14948691e+21 -4.14642604e+21]
[-8.12863864e+21  4.35673625e+21]
[ 7.01800683e+21 -6.56202362e+21]
[-6.77557884e+21  2.59674618e+21]
[-6.17460363e+20  1.30812812e+22]
[-7.13772537e+21 -4.82302636e+22]
[-9.23955658e+21 -7.35246358e+21]
